224
AlexNet
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
epoch:1/101 loss:2.3501|10s train_acc:(538/4208 12.79%)|4s valid_acc:(57/500 11.40%)|0s take:0min remain:26min
epoch:2/101 loss:2.4348|8s train_acc:(1192/4208 28.33%)|4s valid_acc:(160/500 32.00%)|0s take:0min remain:23min
epoch:3/101 loss:1.2529|8s train_acc:(1702/4208 40.45%)|4s valid_acc:(203/500 40.60%)|0s take:0min remain:23min
epoch:4/101 loss:1.0175|8s train_acc:(2194/4208 52.14%)|4s valid_acc:(273/500 54.60%)|0s take:1min remain:23min
epoch:5/101 loss:1.1537|8s train_acc:(2425/4208 57.63%)|4s valid_acc:(294/500 58.80%)|0s take:1min remain:23min
epoch:6/101 loss:0.6606|8s train_acc:(2928/4208 69.58%)|4s valid_acc:(344/500 68.80%)|0s take:1min remain:22min
epoch:7/101 loss:0.7866|8s train_acc:(3071/4208 72.98%)|4s valid_acc:(367/500 73.40%)|0s take:1min remain:22min
epoch:8/101 loss:1.2921|8s train_acc:(3048/4208 72.43%)|4s valid_acc:(364/500 72.80%)|0s take:2min remain:22min
epoch:9/101 loss:0.9275|8s train_acc:(3239/4208 76.97%)|4s valid_acc:(368/500 73.60%)|0s take:2min remain:22min
epoch:10/101 loss:0.8238|8s train_acc:(3552/4208 84.41%)|4s valid_acc:(401/500 80.20%)|0s take:2min remain:22min
epoch:11/101 loss:0.4506|8s train_acc:(3473/4208 82.53%)|4s valid_acc:(402/500 80.40%)|0s take:2min remain:21min
epoch:12/101 loss:0.3522|8s train_acc:(3662/4208 87.02%)|5s valid_acc:(416/500 83.20%)|0s take:3min remain:22min
epoch:13/101 loss:0.6844|8s train_acc:(3654/4208 86.83%)|5s valid_acc:(410/500 82.00%)|0s take:3min remain:21min
epoch:14/101 loss:0.1578|8s train_acc:(3789/4208 90.04%)|5s valid_acc:(423/500 84.60%)|0s take:3min remain:21min
epoch:15/101 loss:1.2051|8s train_acc:(3779/4208 89.81%)|5s valid_acc:(420/500 84.00%)|0s take:4min remain:21min
epoch:16/101 loss:0.3871|8s train_acc:(3798/4208 90.26%)|5s valid_acc:(421/500 84.20%)|0s take:4min remain:20min
epoch:17/101 loss:0.4386|8s train_acc:(3798/4208 90.26%)|5s valid_acc:(421/500 84.20%)|0s take:4min remain:20min
epoch:18/101 loss:0.3615|8s train_acc:(3857/4208 91.66%)|5s valid_acc:(421/500 84.20%)|0s take:4min remain:20min
epoch:19/101 loss:0.2118|8s train_acc:(3922/4208 93.20%)|5s valid_acc:(425/500 85.00%)|0s take:5min remain:20min
epoch:20/101 loss:0.2789|8s train_acc:(3960/4208 94.11%)|5s valid_acc:(433/500 86.60%)|0s take:5min remain:20min
epoch:21/101 loss:0.1525|8s train_acc:(3814/4208 90.64%)|5s valid_acc:(415/500 83.00%)|0s take:5min remain:19min
epoch:22/101 loss:0.0285|8s train_acc:(4010/4208 95.29%)|5s valid_acc:(434/500 86.80%)|0s take:6min remain:19min
epoch:23/101 loss:0.2596|8s train_acc:(3941/4208 93.65%)|5s valid_acc:(415/500 83.00%)|0s take:6min remain:19min
epoch:24/101 loss:0.0564|8s train_acc:(4001/4208 95.08%)|5s valid_acc:(430/500 86.00%)|0s take:6min remain:18min
epoch:25/101 loss:0.2098|8s train_acc:(4053/4208 96.32%)|5s valid_acc:(432/500 86.40%)|0s take:6min remain:18min
epoch:26/101 loss:0.3238|8s train_acc:(3938/4208 93.58%)|5s valid_acc:(417/500 83.40%)|0s take:7min remain:18min
epoch:27/101 loss:0.0605|8s train_acc:(4024/4208 95.63%)|5s valid_acc:(437/500 87.40%)|0s take:7min remain:18min
epoch:28/101 loss:0.1605|8s train_acc:(4068/4208 96.67%)|5s valid_acc:(442/500 88.40%)|0s take:7min remain:18min
epoch:29/101 loss:0.0064|8s train_acc:(4044/4208 96.10%)|5s valid_acc:(424/500 84.80%)|0s take:7min remain:17min
epoch:30/101 loss:0.1767|8s train_acc:(3963/4208 94.18%)|5s valid_acc:(421/500 84.20%)|0s take:8min remain:17min
epoch:31/101 loss:0.0035|8s train_acc:(4110/4208 97.67%)|5s valid_acc:(439/500 87.80%)|0s take:8min remain:17min
epoch:32/101 loss:0.1399|8s train_acc:(4033/4208 95.84%)|5s valid_acc:(419/500 83.80%)|0s take:8min remain:17min
epoch:33/101 loss:0.2364|8s train_acc:(3679/4208 87.43%)|5s valid_acc:(392/500 78.40%)|0s take:9min remain:16min
epoch:34/101 loss:0.3125|8s train_acc:(4136/4208 98.29%)|5s valid_acc:(437/500 87.40%)|0s take:9min remain:16min
epoch:35/101 loss:0.0212|8s train_acc:(4084/4208 97.05%)|5s valid_acc:(436/500 87.20%)|0s take:9min remain:16min
epoch:36/101 loss:0.0272|8s train_acc:(4120/4208 97.91%)|5s valid_acc:(443/500 88.60%)|0s take:9min remain:16min
epoch:37/101 loss:0.6526|8s train_acc:(4039/4208 95.98%)|5s valid_acc:(428/500 85.60%)|0s take:10min remain:15min
epoch:38/101 loss:0.3568|8s train_acc:(4141/4208 98.41%)|5s valid_acc:(427/500 85.40%)|0s take:10min remain:15min
epoch:39/101 loss:0.0874|8s train_acc:(4120/4208 97.91%)|5s valid_acc:(437/500 87.40%)|0s take:10min remain:15min
epoch:40/101 loss:0.1213|8s train_acc:(4164/4208 98.95%)|5s valid_acc:(433/500 86.60%)|0s take:10min remain:15min
epoch:41/101 loss:0.0018|8s train_acc:(4145/4208 98.50%)|5s valid_acc:(434/500 86.80%)|0s take:11min remain:14min
epoch:42/101 loss:0.1356|8s train_acc:(4163/4208 98.93%)|5s valid_acc:(432/500 86.40%)|0s take:11min remain:14min
epoch:43/101 loss:0.0016|8s train_acc:(4171/4208 99.12%)|5s valid_acc:(435/500 87.00%)|0s take:11min remain:14min
epoch:44/101 loss:0.2297|8s train_acc:(4166/4208 99.00%)|5s valid_acc:(433/500 86.60%)|0s take:12min remain:14min
epoch:45/101 loss:0.3305|8s train_acc:(4071/4208 96.74%)|5s valid_acc:(430/500 86.00%)|0s take:12min remain:13min
epoch:46/101 loss:0.0557|8s train_acc:(4166/4208 99.00%)|5s valid_acc:(424/500 84.80%)|0s take:12min remain:13min
epoch:47/101 loss:0.0014|8s train_acc:(4188/4208 99.52%)|5s valid_acc:(439/500 87.80%)|0s take:12min remain:13min
epoch:48/101 loss:0.0041|8s train_acc:(4195/4208 99.69%)|5s valid_acc:(437/500 87.40%)|0s take:13min remain:13min
epoch:49/101 loss:0.5719|8s train_acc:(4106/4208 97.58%)|5s valid_acc:(411/500 82.20%)|0s take:13min remain:12min
epoch:50/101 loss:0.0086|8s train_acc:(4193/4208 99.64%)|5s valid_acc:(431/500 86.20%)|0s take:13min remain:12min
epoch:51/101 loss:0.1118|8s train_acc:(4199/4208 99.79%)|5s valid_acc:(431/500 86.20%)|0s take:13min remain:12min
epoch:52/101 loss:0.0059|8s train_acc:(4202/4208 99.86%)|5s valid_acc:(429/500 85.80%)|0s take:14min remain:12min
